Market,Variety,Modal_Price,Commodity_Code,month,year,season,day_of_week
0,1,3555,13,0,2019,5,1
0,1,3620,13,0,2019,5,4
0,1,3560,13,1,2019,5,5
0,1,3535,13,1,2019,5,3
0,1,3575,13,3,2019,3,2
0,1,3540,13,3,2019,3,2
0,1,3580,13,3,2019,3,3
0,1,3565,13,4,2019,4,4
0,1,3570,13,5,2019,4,1
0,1,3540,13,5,2019,4,4
0,1,3535,13,5,2019,4,6
0,1,3535,13,5,2019,4,2
0,1,3460,13,6,2019,1,6
0,1,3540,13,6,2019,1,6
0,1,3570,13,6,2019,1,1
0,1,3510,13,6,2019,1,3
0,1,3535,13,7,2019,1,5
0,1,3530,13,7,2019,1,2
0,1,3450,13,7,2019,1,3
0,1,3575,13,8,2019,0,1
0,1,3660,13,8,2019,0,5
0,1,3650,13,9,2019,0,2
0,1,3550,13,9,2019,0,6
0,1,3322,13,10,2019,2,3
0,1,2800,13,10,2019,2,3
0,1,3225,13,10,2019,2,5
0,1,3113,13,10,2019,2,3
0,1,3700,13,11,2019,2,2
0,1,3800,13,11,2019,2,5
0,1,6310,13,0,2022,5,3
0,1,5700,13,8,2021,0,4
0,1,4800,13,9,2021,0,4
0,1,5200,13,10,2021,2,4
0,1,5225,13,0,2023,5,2
0,1,5135,13,1,2023,5,2
0,1,5135,13,1,2023,5,5
0,1,5200,13,1,2023,5,3
0,1,4985,13,2,2023,3,3
0,1,5102,13,2,2023,3,4
0,1,4990,13,2,2023,3,1
0,1,5153,13,3,2023,3,1
0,1,5085,13,3,2023,3,2
0,1,4575,13,3,2023,3,4
0,1,4960,13,4,2023,4,3
0,1,4775,13,4,2023,4,1
0,1,4760,13,4,2023,4,2
0,1,4750,13,5,2023,4,1
0,1,4808,13,6,2023,1,2
0,1,4709,13,6,2023,1,1
0,1,4920,13,10,2023,2,4
0,1,4824,13,11,2023,2,6
0,1,4806,13,11,2023,2,3
0,1,4729,13,11,2023,2,4
0,1,4642,13,11,2023,2,5
0,1,4466,13,2,2024,3,5
0,1,4439,13,4,2024,4,5
0,1,4458,13,4,2024,4,4
0,1,4355,13,5,2024,4,3
0,1,4380,13,5,2024,4,4
0,1,4421,13,6,2024,1,2
0,1,4340,13,6,2024,1,1
0,1,4194,13,6,2024,1,1
0,1,3411,13,5,2015,4,1
0,1,3440,13,5,2015,4,6
0,1,3460,13,6,2015,1,5
0,1,3510,13,6,2015,1,1
0,1,3550,13,6,2015,1,2
0,1,3330,13,6,2015,1,3
0,1,3315,13,6,2015,1,5
0,1,3250,13,7,2015,1,1
0,1,3291,13,7,2015,1,2
0,1,3300,13,7,2015,1,1
0,1,3301,13,7,2015,1,3
0,1,3370,13,8,2015,0,3
0,1,3361,13,8,2015,0,4
0,1,3361,13,8,2015,0,1
0,1,3250,13,8,2015,0,4
0,1,3420,13,8,2015,0,3
0,1,3726,13,9,2015,0,2
0,1,3740,13,9,2015,0,2
0,1,3882,13,9,2015,0,3
0,1,3940,13,9,2015,0,4
0,1,3925,13,9,2015,0,6
0,1,3716,13,10,2015,2,2
0,1,3705,13,10,2015,2,6
0,1,3760,13,10,2015,2,3
0,1,3775,13,10,2015,2,5
0,1,3760,13,10,2015,2,6
0,1,3733,13,11,2015,2,3
0,1,3670,13,11,2015,2,5
0,1,3630,13,11,2015,2,6
0,1,3630,13,11,2015,2,2
0,1,3710,13,11,2015,2,6
0,1,3666,13,11,2015,2,1
0,1,3660,13,0,2016,5,2
